                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4322,                 3.8311,                 1.4488,                0.05022,                  0.764,                0.07556,                0.04008,                0.88707,                 3.7241,                 1.1132,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.1943,                 3.5772,                 1.3533,                0.05863,                0.84931,                 0.1237,                0.08005,                0.92257,                 3.5265,                 1.0572,             0.00014706,             0.00014706,             0.00014706
                      3,                 1.1188,                 3.0825,                 1.2299,                0.06344,                0.88486,                0.14309,                0.09817,                0.87211,                 3.3432,                 1.0223,             0.00022414,             0.00022414,             0.00022414
                      4,                 1.1232,                 2.4036,                 1.1748,                0.06715,                0.90737,                0.23743,                0.17448,                0.88541,                 3.2213,                  1.034,             0.00029792,             0.00029792,             0.00029792
                      5,                 1.0781,                 1.9642,                 1.1223,                0.07702,                0.95358,                0.25529,                0.18849,                0.92008,                 3.1547,                  1.081,             0.00036839,             0.00036839,             0.00036839
                      6,                 1.0425,                 1.6184,                 1.0731,                0.08129,                 0.9595,                0.29614,                0.21066,                0.94787,                 3.1073,                 1.1224,             0.00043557,             0.00043557,             0.00043557
                      7,                 1.0077,                 1.3972,                 1.0334,                0.08533,                0.96661,                0.74177,                0.49402,                 1.0102,                 2.7711,                 1.1196,             0.00049945,             0.00049945,             0.00049945
                      8,                 1.0027,                 1.2146,                 1.0201,                0.93594,                0.65376,                0.85999,                0.63316,                0.97919,                  2.187,                 1.0589,             0.00056002,             0.00056002,             0.00056002
                      9,                 0.9839,                 1.1037,                 1.0123,                0.93198,                0.84933,                0.91908,                0.62177,                 1.0984,                 1.5781,                 1.0458,              0.0006173,              0.0006173,              0.0006173
                     10,                0.98083,                 1.0335,                 1.0426,                0.92517,                 0.8385,                0.91342,                0.63394,                 1.0994,                  1.317,                 1.0358,             0.00067127,             0.00067127,             0.00067127
                     11,                0.96813,                0.93327,                 1.0326,                0.93077,                0.84677,                0.88788,                0.61953,                 1.1131,                 1.3095,                 1.0587,             0.00072194,             0.00072194,             0.00072194
                     12,                0.91484,                0.87085,                0.99446,                0.94466,                0.83922,                 0.9016,                0.61182,                 1.1067,                 1.2207,                 1.0452,             0.00076932,             0.00076932,             0.00076932
                     13,                0.89463,                0.83792,                0.99549,                0.93873,                0.86274,                0.90248,                0.64125,                  1.067,                 1.1916,                 1.0287,             0.00081339,             0.00081339,             0.00081339
                     14,                0.88471,                0.81034,                0.99167,                0.90404,                0.86429,                0.89727,                0.65715,                  1.035,                 1.1856,                 1.0305,             0.00085416,             0.00085416,             0.00085416
